# Lon,Lat,Depth
133.890527,-20.997647,41.0
134.025425,-20.997717,41.4
134.250255,-20.997835,42.0
134.385154,-20.997905,42.1
134.475086,-20.997952,42.1
134.744882,-20.998093,41.2
134.924747,-20.998187,40.2
134.969713,-20.998211,40.8
135.194543,-20.998328,44.0
135.374408,-20.998422,45.3
135.464340,-20.998469,44.8
135.644204,-20.998563,42.3
135.734136,-20.998610,41.1
135.824068,-20.998657,40.1
136.138831,-20.998822,39.5
136.273729,-20.998892,39.1
136.363661,-20.998939,39.0
136.588492,-20.999057,41.0
136.723390,-20.999127,42.0
136.768356,-20.999151,42.2
137.083119,-20.999315,39.0
137.218017,-20.999386,36.0
137.262983,-20.999409,34.0
137.532780,-20.999550,49.0
137.667678,-20.999621,46.0
137.802576,-20.999691,45.8
138.027407,-20.999809,45.7
138.162305,-20.999879,45.6
138.252237,-20.999926,45.2
138.432101,-21.000020,44.2
138.611966,-21.000114,43.9
138.701898,-21.000161,44.1
138.926728,-21.000278,50.0
139.061626,-21.000349,54.8
139.196525,-21.000419,54.0
132.899168,-21.506993,32.2
132.989100,-21.506900,33.0
133.079032,-21.506807,34.0
133.303862,-21.506574,36.5
133.393795,-21.506481,38.0
133.528693,-21.506342,41.0
133.798489,-21.506062,43.5
133.933387,-21.505923,42.5
134.068286,-21.505783,41.5
134.293116,-21.505551,39.5
134.383048,-21.505458,38.5
134.517946,-21.505318,39.0
134.742777,-21.505085,40.1
134.877675,-21.504946,41.0
134.967607,-21.504853,42.2
135.192437,-21.504620,46.0
135.372302,-21.504434,49.8
135.462234,-21.504341,48.8
135.642098,-21.504155,45.5
135.776996,-21.504015,43.3
135.911894,-21.503876,42.4
136.091759,-21.503689,41.3
136.226657,-21.503550,41.0
136.361555,-21.503410,40.8
136.586385,-21.503178,40.7
136.721284,-21.503038,40.7
136.811216,-21.502945,40.7
137.081012,-21.502666,40.9
137.170944,-21.502573,41.0
137.350808,-21.502387,41.2
137.530673,-21.502201,42.0
137.665571,-21.502061,43.0
137.755503,-21.501968,43.6
137.980333,-21.501735,44.8
138.160198,-21.501549,45.7
138.205164,-21.501503,45.6
138.474960,-21.501223,40.0
138.564892,-21.501130,39.2
138.699791,-21.500991,39.0
138.879655,-21.500805,50.0
139.059519,-21.500619,47.0
139.149451,-21.500525,46.0
132.987029,-21.596808,28.3
132.988064,-21.551854,33.8
132.990136,-21.461946,37.0
132.998421,-21.102313,44.4
133.001528,-20.967450,45.5
133.003600,-20.877542,44.2
133.009814,-20.607817,44.8
133.010850,-20.562863,42.8
133.012921,-20.472954,41.1
133.022242,-20.068367,46.9
133.024314,-19.978458,44.3
133.026385,-19.888550,40.1
133.034671,-19.528917,38.4
133.035707,-19.483963,39.8
133.038814,-19.349100,45.5
133.466010,-21.647701,53.4
133.467954,-21.467848,43.0
133.468440,-21.422884,40.8
133.472329,-21.063176,38.5
133.473301,-20.973249,40.3
133.474274,-20.883323,45.0
133.477676,-20.568578,41.2
133.478649,-20.478651,39.0
133.479135,-20.433688,41.0
133.482537,-20.118944,41.0
133.483996,-19.984053,40.8
133.484968,-19.894126,42.4
133.487885,-19.624346,43.9
133.488857,-19.534419,43.0
133.489343,-19.489455,43.8
133.494204,-19.039821,43.0
133.494690,-18.994857,43.2
133.495663,-18.904930,42.0
134.017369,-21.582561,41.1
134.016949,-21.492630,43.4
134.016529,-21.402699,46.9
134.015058,-21.087940,39.8
134.014638,-20.998008,39.6
134.014427,-20.953043,39.7
134.012957,-20.638284,39.8
134.012536,-20.548352,40.2
134.012116,-20.458421,40.8
134.010435,-20.098696,44.0
134.009805,-19.963800,45.4
134.009384,-19.873868,45.0
134.008334,-19.649040,46.1
134.007493,-19.469178,48.0
134.007073,-19.379247,48.6
134.005812,-19.109453,49.9
134.005182,-18.974556,49.8
134.004762,-18.884625,49.0
134.003501,-18.614832,46.9
134.003081,-18.524900,47.3
134.002660,-18.434969,48.0
134.503689,-21.590321,40.8
134.504058,-21.500390,41.0
134.504427,-21.410459,41.9
134.505721,-21.095699,43.9
134.506275,-20.960801,42.0
134.506459,-20.915836,40.9
134.507568,-20.646041,44.0
134.507937,-20.556110,44.2
134.508491,-20.421213,43.1
134.511816,-19.611830,41.7
134.512186,-19.521899,44.1
134.512371,-19.476933,44.9
134.514033,-19.072242,43.5
134.514402,-18.982310,46.8
134.514587,-18.937344,49.1
134.515880,-18.622584,51.7
134.516065,-18.577619,51.0
134.516989,-18.352790,51.4
134.517912,-18.127962,52.3
134.518651,-17.948099,58.6
134.518651,-17.948099,60.0
135.007043,-21.598807,41.2
135.007280,-21.508875,39.6
135.007517,-21.418943,38.9
135.008466,-21.059216,39.0
135.008704,-20.969284,39.0
135.008822,-20.924318,39.3
135.009653,-20.609556,44.3
135.010009,-20.474659,46.7
135.010127,-20.429693,46.8
135.010720,-20.204863,46.2
135.011076,-20.069965,45.5
135.011314,-19.980033,47.0
135.012263,-19.620306,51.6
135.012500,-19.530374,51.9
135.012737,-19.440442,50.0
135.013686,-19.080715,48.1
135.014042,-18.945817,47.2
135.014161,-18.900851,45.6
135.014873,-18.631055,46.0
135.015110,-18.541123,46.1
135.015347,-18.451191,46.2
135.016415,-18.046498,51.2
135.016771,-17.911600,50.2
135.016890,-17.866634,48.9
135.017364,-17.686771,48.2
135.017720,-17.551873,48.9
135.017957,-17.461941,48.4
135.502536,-21.628148,46.8
